number,S1,S2,S3,Total,Anchor,Pass
3160600223,33,28,14,75,59.3,0
3160600224,37,31,47,115,63.2,1
3160600225,31,31,23,85,23.5,0
3160600226,34,39,38,111,100,1
3160600227,38,32,38,108,57.4,1
3160600228,49,39,41,129,77.1,1
3160600229,32,22,22,76,36.8,0
3160600230,40,35,31,106,77.1,1
3160600231,26,12,21,59,17.8,0
3160600232,45,32,27,104,59.7,1
3160600233,40,27,16,83,77.1,0
3160600234,32,26,27,85,42.6,0
3160600235,44,32,22,98,53.5,0
3160600236,24,21,16,61,36.8,0
3160600237,46,47,22,115,53.5,1
3160600238,38,30,18,86,76.5,0
3160600239,22,19,25,66,19,0
3160600240,39,31,29,99,36.8,0
3160600241,45,43,29,117,77.1,1
3160600242,26,29,45,100,42.6,1
3160600243,22,20,25,67,16.7,0
3160600244,32,29,25,86,59.3,0
3160600245,37,28,50,115,82.2,1
3160600246,52,42,40,134,36.8,1
3160600247,42,23,38,103,22.9,1
3160600248,40,25,34,99,42.6,0
3160600249,38,15,29,82,58.7,0
3160600250,43,30,36,109,53.5,1
3160600251,49,46,32,127,36.8,1
3160600252,36,24,32,92,76.5,0
3160600253,49,30,43,122,35.7,1
3160600254,51,32,37,120,53.5,1
3160600255,48,40,45,133,76.5,1
3160600256,31,36,36,103,42,1
3160600257,43,39,42,124,19,1
3160600258,52,39,43,134,53.5,1
3160600259,39,31,35,105,42,1
3160600260,36,27,31,94,58.7,0
3160600261,27,33,19,79,35.7,0
3160600262,42,35,29,106,76.5,1
3160600263,47,31,36,114,76.5,1
3160600264,50,51,38,139,53.5,1
3160600265,46,40,36,122,83.3,1
3160600266,42,32,41,115,59.7,1
3160600267,39,34,47,120,42,1
3160600268,47,38,38,123,76.5,1
3160600269,29,37,24,90,58,0
3160600270,17,13,19,49,40.3,0
3160600271,49,34,45,128,57.4,1
3160600272,27,35,43,105,76.5,1
3160600273,22,32,50,104,40.3,1
3160600274,38,40,44,122,76.5,1
3160600275,40,25,45,110,19,1
3160600276,28,19,14,61,0,0
3160600277,42,30,31,103,19,1
3160600278,45,42,30,117,36.8,1
